TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,1)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 3    | Stato: EXPLORE            | (0,1)        | 499    | NO
4        | 4    | Stato: EXPLORE            | (0,1)        | 499    | NO
5        | 5    | Stato: EXPLORE            | (1,0)        | 499    | NO
18       | 4    | Stato: MOVE_TO_OBJECT     | (3,8)        | 485    | NO
22       | 4    | RACCOLTA OGGETTO          | (4,10)       | 481    | SI
29       | 4    | Stato: DELIVER            | (3,11)       | 474    | SI
32       | 4    | CONSEGNA EFFETTUATA       | (3,12)       | 471    | NO
48       | 4    | Stato: MOVE_TO_OBJECT     | (7,15)       | 455    | NO
52       | 4    | RACCOLTA OGGETTO          | (7,18)       | 451    | SI
70       | 4    | Stato: DELIVER            | (11,21)      | 433    | SI
73       | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 430    | NO
74       | 4    | Stato: MOVE_TO_OBJECT     | (12,21)      | 429    | NO
77       | 1    | Stato: MOVE_TO_OBJECT     | (1,4)        | 422    | NO
79       | 4    | RACCOLTA OGGETTO          | (10,19)      | 424    | SI
87       | 4    | Stato: DELIVER            | (11,21)      | 416    | SI
89       | 1    | RACCOLTA OGGETTO          | (7,9)        | 410    | SI
90       | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 413    | NO
102      | 1    | Stato: DELIVER            | (3,11)       | 397    | SI
105      | 1    | CONSEGNA EFFETTUATA       | (3,12)       | 394    | NO
106      | 1    | Stato: MOVE_TO_OBJECT     | (3,12)       | 393    | NO
118      | 1    | RACCOLTA OGGETTO          | (7,5)        | 381    | SI
123      | 4    | Stato: MOVE_TO_OBJECT     | (10,9)       | 380    | NO
130      | 3    | Stato: MOVE_TO_OBJECT     | (5,8)        | 372    | NO
133      | 4    | RACCOLTA OGGETTO          | (7,11)       | 370    | SI
134      | 3    | Stato: EXPLORE            | (7,9)        | 368    | NO
135      | 3    | Stato: MOVE_TO_OBJECT     | (7,9)        | 367    | NO
135      | 1    | Stato: DELIVER            | (11,3)       | 364    | SI
138      | 1    | CONSEGNA EFFETTUATA       | (12,3)       | 361    | NO
139      | 1    | Stato: MOVE_TO_OBJECT     | (12,3)       | 360    | NO
141      | 3    | RACCOLTA OGGETTO          | (11,7)       | 361    | SI
142      | 1    | Stato: EXPLORE            | (11,4)       | 357    | NO
143      | 1    | Stato: MOVE_TO_OBJECT     | (11,4)       | 356    | NO
147      | 1    | RACCOLTA OGGETTO          | (12,4)       | 352    | SI
148      | 4    | Stato: DELIVER            | (3,11)       | 355    | SI
150      | 3    | Stato: DELIVER            | (11,3)       | 352    | SI
151      | 4    | CONSEGNA EFFETTUATA       | (3,12)       | 352    | NO
152      | 1    | Stato: DELIVER            | (11,3)       | 347    | SI
152      | 4    | Stato: MOVE_TO_OBJECT     | (3,12)       | 351    | NO
153      | 3    | CONSEGNA EFFETTUATA       | (12,3)       | 349    | NO
155      | 1    | CONSEGNA EFFETTUATA       | (12,3)       | 344    | NO
164      | 4    | Stato: EXPLORE            | (10,8)       | 339    | NO
176      | 4    | Stato: MOVE_TO_OBJECT     | (15,8)       | 327    | NO
180      | 4    | RACCOLTA OGGETTO          | (16,10)      | 323    | SI
195      | 4    | Stato: DELIVER            | (21,11)      | 308    | SI
198      | 4    | CONSEGNA EFFETTUATA       | (21,12)      | 305    | NO
297      | 4    | Stato: MOVE_TO_OBJECT     | (18,22)      | 206    | NO
297      | 1    | Stato: MOVE_TO_OBJECT     | (19,17)      | 202    | NO
301      | 1    | RACCOLTA OGGETTO          | (19,20)      | 198    | SI
302      | 4    | Stato: EXPLORE            | (19,21)      | 201    | NO
323      | 1    | Stato: DELIVER            | (11,21)      | 176    | SI
326      | 1    | CONSEGNA EFFETTUATA       | (12,21)      | 173    | NO
