Instance,Seed,Total_Ticks,Total_Deliveries,Total_Abandoned,Dead_Agents,Total_Distance
B,42,163,10,0,0,782
B,123,245,10,0,0,1190
B,456,192,10,0,0,925
B,789,133,10,0,0,633
B,1337,130,10,0,0,617
A,42,357,10,0,0,1753
A,123,254,10,0,0,1235
A,456,248,10,0,0,1207
A,789,247,10,0,0,1205
A,1337,207,10,0,0,1002
B,10,296,10,0,0,1449
B,1,134,10,0,0,639
B,324,219,10,0,0,1063
A,41,386,10,0,0,1898
A,40,348,10,0,0,1706
A,43,334,10,0,0,1640
A,39,386,10,0,0,1898
A,35,349,10,0,0,1711
A,37,236,10,0,0,1147
A2,42,484,6,0,0,2338
A2,41,434,10,0,0,2140
B,37,133,10,0,0,635
