TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: RETURN_HOME        | (0,1)        | 499    | SI
1        | 2    | Stato: EXPLORE            | (0,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (2,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,1)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (1,0)        | 499    | NO
17       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 482    | NO
21       | 1    | Stato: EXPLORE            | (4,13)       | 478    | NO
33       | 1    | Stato: RETRIEVE           | (0,21)       | 466    | NO
36       | 1    | RACCOLTA OGGETTO          | (0,23)       | 463    | SI
50       | 3    | Stato: RETRIEVE           | (4,12)       | 451    | NO
57       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 442    | NO
60       | 4    | Stato: RETRIEVE           | (3,15)       | 442    | NO
61       | 1    | Stato: EXPLORE            | (4,13)       | 438    | NO
62       | 1    | Stato: RETRIEVE           | (4,14)       | 437    | NO
72       | 4    | RACCOLTA OGGETTO          | (1,24)       | 430    | SI
75       | 3    | RACCOLTA OGGETTO          | (0,24)       | 426    | SI
77       | 1    | Stato: EXPLORE            | (4,23)       | 422    | NO
91       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 411    | NO
95       | 4    | Stato: EXPLORE            | (4,11)       | 407    | NO
97       | 3    | CONSEGNA EFFETTUATA       | (2,11)       | 404    | NO
107      | 3    | Stato: EXPLORE            | (4,11)       | 394    | NO
189      | 4    | Stato: RETRIEVE           | (5,24)       | 313    | NO
197      | 3    | Stato: RETRIEVE           | (7,14)       | 304    | NO
202      | 1    | Stato: RETRIEVE           | (3,23)       | 297    | NO
244      | 4    | RACCOLTA OGGETTO          | (23,0)       | 258    | SI
261      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 241    | NO
265      | 4    | Stato: EXPLORE            | (20,11)      | 237    | NO
266      | 4    | Stato: RETRIEVE           | (19,11)      | 236    | NO
274      | 1    | Stato: EXPLORE            | (23,0)       | 225    | NO
275      | 1    | Stato: RETRIEVE           | (24,0)       | 224    | NO
276      | 1    | RACCOLTA OGGETTO          | (24,0)       | 223    | SI
294      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 205    | NO
296      | 4    | RACCOLTA OGGETTO          | (24,1)       | 206    | SI
298      | 1    | Stato: EXPLORE            | (20,11)      | 201    | NO
299      | 1    | Stato: RETRIEVE           | (19,11)      | 200    | NO
300      | 3    | Stato: EXPLORE            | (24,4)       | 201    | NO
305      | 1    | Stato: EXPLORE            | (21,9)       | 194    | NO
313      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 189    | NO
321      | 4    | Stato: EXPLORE            | (20,13)      | 181    | NO
330      | 1    | Stato: RETRIEVE           | (21,24)      | 169    | NO
333      | 1    | RACCOLTA OGGETTO          | (23,24)      | 166    | SI
352      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 147    | NO
356      | 1    | Stato: EXPLORE            | (20,13)      | 143    | NO
357      | 1    | Stato: RETRIEVE           | (19,13)      | 142    | NO
373      | 1    | RACCOLTA OGGETTO          | (24,23)      | 126    | SI
392      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 107    | NO
396      | 1    | Stato: EXPLORE            | (20,13)      | 103    | NO
397      | 1    | Stato: RETRIEVE           | (19,13)      | 102    | NO
414      | 1    | RACCOLTA OGGETTO          | (24,24)      | 85     | SI
434      | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 65     | NO
