TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,1)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (1,1)        | 499    | NO
3        | 3    | Stato: EXPLORE            | (0,1)        | 499    | NO
4        | 4    | Stato: EXPLORE            | (1,0)        | 499    | NO
7        | 5    | Stato: DEPLOY             | (0,0)        | 499    | NO
10       | 5    | Stato: EXPLORE            | (0,1)        | 496    | NO
29       | 4    | Stato: MOVE_TO_OBJECT     | (7,2)        | 474    | NO
33       | 4    | RACCOLTA OGGETTO          | (7,5)        | 470    | SI
48       | 3    | Stato: MOVE_TO_OBJECT     | (6,1)        | 454    | NO
50       | 4    | Stato: DELIVER            | (11,3)       | 453    | SI
53       | 4    | CONSEGNA EFFETTUATA       | (12,3)       | 450    | NO
54       | 4    | Stato: MOVE_TO_OBJECT     | (12,3)       | 449    | NO
63       | 3    | RACCOLTA OGGETTO          | (4,10)       | 439    | SI
66       | 4    | RACCOLTA OGGETTO          | (7,9)        | 437    | SI
69       | 1    | Stato: MOVE_TO_OBJECT     | (4,1)        | 430    | NO
70       | 3    | Stato: DELIVER            | (3,11)       | 432    | SI
73       | 3    | CONSEGNA EFFETTUATA       | (3,12)       | 429    | NO
74       | 3    | Stato: MOVE_TO_OBJECT     | (3,12)       | 428    | NO
79       | 1    | Stato: EXPLORE            | (4,10)       | 420    | NO
79       | 4    | Stato: DELIVER            | (3,11)       | 424    | SI
80       | 1    | Stato: MOVE_TO_OBJECT     | (4,10)       | 419    | NO
82       | 4    | CONSEGNA EFFETTUATA       | (3,12)       | 421    | NO
83       | 4    | Stato: MOVE_TO_OBJECT     | (3,12)       | 420    | NO
89       | 1    | RACCOLTA OGGETTO          | (7,11)       | 410    | SI
89       | 3    | Stato: EXPLORE            | (7,9)        | 413    | NO
90       | 3    | Stato: MOVE_TO_OBJECT     | (7,9)        | 412    | NO
91       | 4    | Stato: EXPLORE            | (6,8)        | 412    | NO
92       | 4    | Stato: MOVE_TO_OBJECT     | (6,8)        | 411    | NO
96       | 3    | RACCOLTA OGGETTO          | (11,7)       | 406    | SI
104      | 1    | Stato: DELIVER            | (3,11)       | 395    | SI
105      | 3    | Stato: DELIVER            | (11,3)       | 397    | SI
106      | 4    | Stato: EXPLORE            | (11,7)       | 397    | NO
107      | 1    | CONSEGNA EFFETTUATA       | (3,12)       | 392    | NO
107      | 4    | Stato: MOVE_TO_OBJECT     | (11,7)       | 396    | NO
108      | 1    | Stato: MOVE_TO_OBJECT     | (3,12)       | 391    | NO
108      | 3    | CONSEGNA EFFETTUATA       | (12,3)       | 394    | NO
109      | 3    | Stato: MOVE_TO_OBJECT     | (12,3)       | 393    | NO
111      | 3    | RACCOLTA OGGETTO          | (12,4)       | 391    | SI
111      | 4    | Stato: EXPLORE            | (12,5)       | 392    | NO
116      | 3    | Stato: DELIVER            | (11,3)       | 386    | SI
119      | 3    | CONSEGNA EFFETTUATA       | (12,3)       | 383    | NO
120      | 4    | Stato: MOVE_TO_OBJECT     | (15,8)       | 383    | NO
122      | 1    | Stato: EXPLORE            | (11,7)       | 377    | NO
123      | 1    | Stato: MOVE_TO_OBJECT     | (11,7)       | 376    | NO
124      | 4    | RACCOLTA OGGETTO          | (16,10)      | 379    | SI
128      | 1    | Stato: EXPLORE            | (12,4)       | 371    | NO
139      | 4    | Stato: DELIVER            | (21,11)      | 364    | SI
142      | 4    | CONSEGNA EFFETTUATA       | (21,12)      | 361    | NO
236      | 4    | Stato: MOVE_TO_OBJECT     | (7,15)       | 267    | NO
240      | 4    | RACCOLTA OGGETTO          | (7,18)       | 263    | SI
258      | 4    | Stato: DELIVER            | (11,21)      | 245    | SI
261      | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 242    | NO
262      | 4    | Stato: MOVE_TO_OBJECT     | (12,21)      | 241    | NO
267      | 4    | RACCOLTA OGGETTO          | (10,19)      | 236    | SI
275      | 4    | Stato: DELIVER            | (11,21)      | 228    | SI
278      | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 225    | NO
436      | 4    | Stato: MOVE_TO_OBJECT     | (18,22)      | 67     | NO
440      | 4    | RACCOLTA OGGETTO          | (19,20)      | 63     | SI
462      | 4    | Stato: DELIVER            | (11,21)      | 41     | SI
465      | 4    | CONSEGNA EFFETTUATA       | (12,21)      | 38     | NO
