TICK     | ID   | EVENTO                    | POSIZIONE    | BATT   | CARICO
----------------------------------------------------------------------------
0        | 1    | Stato: EXPLORE            | (0,0)        | 499    | NO
1        | 2    | Stato: EXPLORE            | (2,0)        | 499    | NO
2        | 3    | Stato: EXPLORE            | (1,0)        | 499    | NO
3        | 4    | Stato: EXPLORE            | (0,2)        | 499    | NO
4        | 5    | Stato: EXPLORE            | (2,0)        | 499    | NO
14       | 1    | Stato: RETRIEVE           | (7,5)        | 485    | NO
17       | 1    | RACCOLTA OGGETTO          | (9,5)        | 482    | SI
18       | 4    | Stato: RETRIEVE           | (8,5)        | 484    | NO
23       | 1    | CONSEGNA EFFETTUATA       | (11,2)       | 476    | NO
26       | 4    | RACCOLTA OGGETTO          | (7,11)       | 476    | SI
27       | 1    | Stato: EXPLORE            | (12,5)       | 472    | NO
28       | 1    | Stato: RETRIEVE           | (11,5)       | 471    | NO
32       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 470    | NO
34       | 3    | Stato: RETRIEVE           | (9,4)        | 467    | NO
36       | 4    | Stato: EXPLORE            | (4,13)       | 466    | NO
37       | 1    | RACCOLTA OGGETTO          | (6,8)        | 462    | SI
37       | 4    | RACCOLTA OGGETTO          | (4,13)       | 465    | SI
39       | 3    | RACCOLTA OGGETTO          | (11,4)       | 462    | SI
42       | 4    | CONSEGNA EFFETTUATA       | (2,11)       | 460    | NO
42       | 3    | CONSEGNA EFFETTUATA       | (11,2)       | 459    | NO
45       | 1    | CONSEGNA EFFETTUATA       | (2,11)       | 454    | NO
46       | 3    | Stato: EXPLORE            | (13,4)       | 455    | NO
47       | 3    | Stato: RETRIEVE           | (13,5)       | 454    | NO
48       | 4    | Stato: EXPLORE            | (4,13)       | 454    | NO
49       | 4    | Stato: RETRIEVE           | (4,14)       | 453    | NO
51       | 1    | Stato: EXPLORE            | (5,12)       | 448    | NO
52       | 1    | Stato: RETRIEVE           | (5,11)       | 447    | NO
58       | 3    | Stato: EXPLORE            | (6,8)        | 443    | NO
72       | 1    | Stato: EXPLORE            | (11,4)       | 427    | NO
73       | 4    | RACCOLTA OGGETTO          | (5,20)       | 429    | SI
82       | 4    | CONSEGNA EFFETTUATA       | (11,22)      | 420    | NO
86       | 4    | Stato: EXPLORE            | (13,20)      | 416    | NO
87       | 4    | Stato: RETRIEVE           | (14,20)      | 415    | NO
89       | 1    | Stato: RETRIEVE           | (20,6)       | 410    | NO
92       | 1    | RACCOLTA OGGETTO          | (20,8)       | 407    | SI
98       | 1    | CONSEGNA EFFETTUATA       | (22,11)      | 401    | NO
102      | 1    | Stato: EXPLORE            | (20,13)      | 397    | NO
108      | 3    | Stato: RETRIEVE           | (16,14)      | 393    | NO
111      | 3    | RACCOLTA OGGETTO          | (17,13)      | 390    | SI
116      | 4    | RACCOLTA OGGETTO          | (20,18)      | 386    | SI
119      | 3    | CONSEGNA EFFETTUATA       | (22,11)      | 382    | NO
123      | 3    | Stato: EXPLORE            | (20,11)      | 378    | NO
124      | 3    | Stato: RETRIEVE           | (20,10)      | 377    | NO
128      | 4    | CONSEGNA EFFETTUATA       | (22,11)      | 374    | NO
134      | 4    | Stato: EXPLORE            | (20,13)      | 368    | NO
135      | 4    | Stato: RETRIEVE           | (20,14)      | 367    | NO
137      | 1    | Stato: RETRIEVE           | (16,14)      | 362    | NO
172      | 3    | RACCOLTA OGGETTO          | (9,20)       | 329    | SI
176      | 1    | Stato: EXPLORE            | (9,20)       | 323    | NO
177      | 3    | CONSEGNA EFFETTUATA       | (11,22)      | 324    | NO
